Winner,Loser,Score,Rounds,Runtime
UpClose,Mob,19,31,5
Headshot,HorizontalSym,19,57,117
UpClose,DiagonalSym,7,76,43
HorizontalSym,VerticalSym,6,66,13
RMCQueenAI,Assasin,19,36,26915
VerticalSym,Straight,5,73,45
VerticalSym,DiagonalSym,3,66,58
DiagonalSym,Random,3,71,15
Headshot,VerticalSym,39,40,84
Assasin,UpClose,32,36,65
UpClose,Random,10,48,9
Random,Mob,15,51,46
RMCQueenAI,Headshot,10,28,31755
Random,DiagonalSym,5,65,13
DiagonalSym,Mob,3,64,12
DiagonalSym,Mob,8,71,45
RMCQueenAI,VerticalSym,25,34,22506
UpClose,AlternateCorner,10,63,13
VerticalSym,Mob,5,56,11
VerticalSym,Random,5,75,15
Headshot,Random,37,44,88
HorizontalSym,AlternateCorner,1,84,61
Assasin,VerticalSym,25,58,17
Assasin,DiagonalSym,26,52,62
DiagonalSym,Mob,0,74,14
Assasin,UpClose,18,53,53
RMCQueenAI,UpClose,24,44,25618
Assasin,DiagonalSym,19,45,47
RMCQueenAI,Assasin,20,34,32934
HorizontalSym,VerticalSym,7,60,15
DiagonalSym,HorizontalSym,3,70,14
Corner,Mob,6,70,13
Assasin,AlternateCorner,12,72,54
Random,HorizontalSym,9,72,16
Straight,HorizontalSym,3,71,14
AlternateCorner,Random,9,64,15
Assasin,Corner,38,35,59
UpClose,HorizontalSym,18,55,42
RMCQueenAI,HorizontalSym,13,54,23198
UpClose,HorizontalSym,6,50,8
Headshot,AlternateCorner,21,52,16
UpClose,Corner,29,45,9
Straight,DiagonalSym,1,69,14
Straight,Corner,18,54,13
Headshot,Assasin,11,68,75
RMCQueenAI,Straight,27,36,26191
Random,Straight,4,71,16
Straight,Mob,18,32,9
RMCQueenAI,UpClose,24,44,25704
RMCQueenAI,UpClose,12,41,26810
Assasin,Headshot,7,54,56
Random,Mob,22,50,11
RMCQueenAI,DiagonalSym,18,51,23198
Headshot,DiagonalSym,17,48,55
Random,Corner,2,60,14
Corner,HorizontalSym,12,70,15
DiagonalSym,Corner,8,47,11
RMCQueenAI,Headshot,27,37,37732
RMCQueenAI,HorizontalSym,11,29,27017
Headshot,Mob,20,47,19
UpClose,Straight,5,69,41
UpClose,Corner,13,55,22
Headshot,VerticalSym,8,64,61
VerticalSym,HorizontalSym,9,56,49
VerticalSym,Mob,17,43,11
Assasin,AlternateCorner,16,57,29
UpClose,Corner,31,40,42
VerticalSym,AlternateCorner,1,85,46
HorizontalSym,Straight,8,56,13
Headshot,DiagonalSym,26,44,72
DiagonalSym,Straight,4,74,49
DiagonalSym,Random,4,72,18
RMCQueenAI,UpClose,12,41,26976
AlternateCorner,VerticalSym,13,59,14
Mob,HorizontalSym,17,47,11
Corner,Straight,15,64,14
HorizontalSym,Mob,14,39,10
Headshot,AlternateCorner,21,52,60
Corner,DiagonalSym,0,56,12
Corner,AlternateCorner,8,79,53
RMCQueenAI,AlternateCorner,18,52,19400
HorizontalSym,Corner,14,35,10
RMCQueenAI,AlternateCorner,14,49,10999
AlternateCorner,UpClose,12,67,10
Random,Corner,5,63,28
Random,HorizontalSym,4,62,15
Assasin,UpClose,18,53,21
AlternateCorner,DiagonalSym,9,69,47
RMCQueenAI,Headshot,27,37,37829
Assasin,AlternateCorner,28,55,22
Assasin,DiagonalSym,19,45,46
Assasin,Corner,50,26,33
Assasin,Corner,28,47,48
Headshot,Mob,14,60,54
Assasin,VerticalSym,35,47,60
Headshot,HorizontalSym,12,56,55
RMCQueenAI,AlternateCorner,18,52,18980
Assasin,DiagonalSym,35,43,13
Headshot,Assasin,7,65,48
Corner,DiagonalSym,10,55,12
AlternateCorner,UpClose,12,67,43
RMCQueenAI,Straight,73,18,25441
Straight,AlternateCorner,3,83,16
HorizontalSym,DiagonalSym,3,70,12
RMCQueenAI,Headshot,27,37,38360
Headshot,UpClose,14,48,20
